ID;X;Y;ce;;;
31;544105;181098;0.1;;Falta muestra 333;
32;533689;182574;0.1;;517 datos;
33;525760;179443;0.1;;;
34;531280;186305;0.1;;;
35;532794;192734;0.1;;;
36;524312;200735;0.1;;;
37;513035;199990;0.1;;;
38;510911;202788;0.2;;;
39;506055;207023;0.1;;;
40;504826;212164;0.1;;;
41;510115;212173;0.1;;;
42;517502;208034;0.1;;;
43;558430;227525;0.1;;;
44;524361;191962;0.1;;;
45;521455;186203;0.1;;;
46;518395;183085;0.1;;;
47;497051;205586;0.1;;;
48;499086;197536;0.1;;;
49;498656;193087;0.1;;;
50;494342;199951;0.1;;;
51;492219;193526;0.1;;;
52;490341;186269;0.1;;;
53;491190;179306;0.1;;;
54;481960;178708;0.1;;;
55;477702;175397;0.1;;;
56;487739;209287;0.1;;;
57;485909;200806;0.1;;;
58;469937;194162;0.1;;;
59;473903;191512;0.1;;;
60;481431;184441;0.1;;;
61;475677;173582;0.1;;;
62;466028;184231;0.1;;;
63;526915;217268;0.1;;;
64;520711;218030;0.1;;;
65;515554;218434;0.1;;;
66;518968;223776;0.2;;;
67;518142;232250;0.1;;;
68;519114;237759;0.1;;;
69;511149;238583;0.2;;;
70;513367;233769;0.1;;;
71;508802;223712;0.1;;;
72;499712;219032;0.2;;;
73;496825;217350;0.1;;;
74;487503;218115;0.1;;;
75;478937;213572;0.1;;;
76;469142;216267;0.1;;;
77;466560;221643;0.1;;;
78;480394;224077;0.1;;;
79;550803;201211;0.1;;;
80;552856;195186;0.1;;;
81;561143;201378;0.1;;;
82;516631;249427;0.1;;;
83;522006;257585;0.1;;;
84;525033;270470;0.1;;;
85;544644;242621;0.1;;;
86;538967;231995;0.1;;;
87;502457;240167;0.2;;;
88;506766;248740;0.2;;;
89;511041;258406;0.1;;;
90;502981;262428;0.1;;;
91;492606;259074;0.1;;;
92;488972;247769;0.2;;;
93;494581;239201;0.1;;;
94;492824;232872;0.1;;;
95;497762;224026;0.3;;;
96;504560;234017;0.1;;;
97;489091;224371;0.1;;;
98;480571;241529;0.2;;;
99;478474;251502;0.1;;;
100;470594;260476;0.2;;;
101;469710;268121;0.1;;;
102;461092;274725;0.1;;;
103;473015;273118;0.1;;;
104;476680;263309;0.2;;;
105;483126;257783;0.1;;;
106;486285;273786;0.2;;;
107;499103;271955;0.1;;;
108;508656;274759;0.2;;;
109;513916;268991;0.1;;;
110;551835;255751;0.1;;;
111;563532;240208;0.1;;;
112;558931;249847;0.1;;;
113;561954;257428;0.1;;;
114;539836;264178;0.1;;;
115;547015;260914;0.1;;;
116;447229;223302;0.2;;;
117;447837;231647;0.1;;;
118;437070;226047;0.3;;;
119;426903;231799;0.1;;;
120;436406;238893;0.1;;;
121;427722;246892;0.1;;;
122;421652;256010;0.1;;;
123;418241;264962;0.2;;;
124;409890;271868;0.2;;;
125;388488;281151;0.1;;;
126;379290;288717;0.2;;;
127;372959;296278;0.1;;;
128;378070;306339;0.1;;;
129;367942;308684;0.1;;;
130;365049;285134;0.1;;;
131;360661;291529;0.1;;;
132;353223;280500;0.1;;;
133;362824;317735;0.1;;;
134;358656;329760;0.2;;;
135;358476;337304;0.2;;;
136;359235;348080;0.1;;;
137;359391;353496;0.2;;;
138;352230;339839;0.1;;;
139;346874;332224;0.8;;;
140;350962;322944;0.1;;;
141;358968;313210;0.1;;;
142;354400;307250;0.4;;;
143;368828;334889;0.1;;;
144;378245;338161;0.1;;;
145;384822;343423;0.1;;;
146;381526;344321;0.1;;;
147;406459;278940;0.1;;;
148;400450;286788;0.1;;;
149;404211;296052;0.2;;;
150;398638;290279;0.1;;;
151;398904;277552;0.1;;;
152;455893;215648;0.1;;;
153;463377;210108;0.3;;;
154;471976;203217;0.2;;;
155;363929;277706;0.1;;;
156;366637;269435;0.1;;;
157;358861;263310;0.1;;;
158;349229;259926;0.2;;;
159;343815;270277;0.1;;;
160;337570;263981;0.1;;;
161;334346;258748;0.1;;;
162;338804;261141;0.1;;;
163;339726;251621;0.2;;;
164;350538;251404;0.1;;;
165;360956;250366;0.2;;;
166;373272;263025;0.2;;;
167;358913;243812;0.1;;;
168;370502;244421;0.1;;;
169;388876;254479;0.1;;;
170;382758;247377;0.2;;;
171;372618;249153;0.1;;;
172;385745;304140;0.3;;;
173;396328;305443;0.1;;;
174;386042;296792;0.1;;;
175;570437;209036;0.2;;;
176;577200;205287;0.1;;;
177;585850;200461;0.1;;;
178;595075;200736;0.1;;;
179;600973;196481;0.1;;;
180;590516;196470;0.1;;;
181;567301;196487;0.1;;;
182;575765;197959;0.1;;;
183;583341;213598;0.1;;;
184;585592;224063;0.1;;;
185;589911;230886;0.1;;;
186;583082;236337;0.1;;;
187;572031;242568;0.1;;;
188;443713;247589;0.1;;;
189;444602;256548;0.1;;;
190;437230;263512;0.2;;;
191;431780;270946;0.2;;;
192;424021;274368;0.2;;;
193;380111;281424;0.1;;;
194;386651;271170;0.2;;;
195;391593;261804;0.2;;;
196;388755;258861;0.4;;;
197;397791;267267;0.2;;;
198;407408;262634;0.3;;;
199;415539;281770;0.2;;;
200;416670;293543;0.1;;;
201;419903;301144;0.1;;;
202;424481;312831;0.1;;;
203;423884;324319;0.2;;;
204;411983;325468;0.2;;;
205;408841;319911;0.1;;;
206;404800;321199;0.2;;;
207;407066;308617;0.2;;;
208;400407;313547;0.1;;;
209;392963;319866;0.2;;;
210;384702;318551;0.1;;;
211;371917;313643;0.1;;;
212;415230;245719;0.3;;;
213;405430;245082;0.1;;;
214;394443;241191;0.3;;;
215;388721;232778;0.1;;;
216;378432;237334;0.1;;;
217;397010;228126;0.1;;;
218;398555;219201;0.1;;;
219;395706;208673;0.1;;;
220;401763;205466;0.3;;;
221;399281;198573;0.1;;;
222;390589;202485;0.1;;;
223;388418;212352;0.1;;;
224;379681;210087;0.2;;;
225;377332;219697;0.1;;;
226;374238;205646;0.1;;;
227;366893;218453;0.1;;;
228;361287;210357;0.2;;;
229;354019;218718;0.1;;;
230;361509;224485;0.1;;;
231;345953;224883;0.1;;;
232;339645;234686;0.2;;;
233;347654;247330;0.2;;;
234;336349;242702;0.2;;;
235;351286;239519;0.1;;;
236;365431;237431;0.1;;;
237;371629;227656;0.1;;;
238;568853;253483;0.1;;;
239;579558;251522;0.2;;;
240;589749;255277;0.1;;;
241;593028;240897;0.2;;;
242;600429;229867;0.1;;;
243;604065;239365;0.4;;;
